pass	strategy	attempt	success	bytes
1	1	1	1	65537
1	1	2	1	65537
1	2	1	0	0
1	2	2	0	0
1	3	1	1	65537
1	3	2	1	65537
1	4	1	1	65537
1	4	2	1	65537
1	5	1	1	65537
1	5	2	1	65537
1	6	1	1	65537
1	6	2	1	65537
1	7	1	1	65537
1	7	2	1	65537
1	8	1	1	65537
1	8	2	1	65537
1	9	1	1	65537
1	9	2	1	65537
1	10	1	1	65537
1	10	2	1	65537
1	11	1	1	65537
1	11	2	1	65537
1	12	1	1	65537
1	12	2	1	65537
1	13	1	1	65537
1	13	2	1	65537
1	14	1	1	65537
1	14	2	1	65537
1	15	1	1	65537
1	15	2	1	65537
1	16	1	1	65537
1	16	2	1	65537
1	17	1	1	65537
1	17	2	1	65537
1	18	1	1	65537
1	18	2	1	65537
1	19	1	1	65537
1	19	2	1	65537
1	20	1	0	0
1	20	2	0	0
1	21	1	1	65537
1	21	2	1	65537
1	22	1	1	65537
1	22	2	1	65537
1	23	1	1	65537
1	23	2	1	65537
1	24	1	1	65537
1	24	2	1	65537
1	25	1	1	65537
1	25	2	1	65537
1	26	1	0	0
1	26	2	0	0
1	27	1	1	65537
1	27	2	1	65537
1	28	1	1	65537
1	28	2	1	65537
1	29	1	0	0
1	29	2	0	0
1	30	1	1	65537
1	30	2	1	65537
1	31	1	1	65537
1	31	2	1	65537
1	32	1	0	0
1	32	2	0	0
1	33	1	0	0
1	33	2	0	0
1	34	1	0	0
1	34	2	0	0
1	35	1	0	0
1	35	2	0	0
1	36	1	0	0
1	36	2	0	0
1	37	1	0	0
1	37	2	0	0
1	38	1	1	65537
1	38	2	1	65537
1	39	1	1	65537
1	39	2	1	65537
1	40	1	1	65537
1	40	2	1	65537
1	41	1	0	0
1	41	2	0	0
1	42	1	0	0
1	42	2	0	0
2	1	1	1	65537
2	1	2	1	65537
2	2	1	0	0
2	2	2	0	0
2	3	1	1	65537
2	3	2	1	65537
2	4	1	1	65537
2	4	2	1	65537
2	5	1	1	65537
2	5	2	1	65537
2	6	1	1	65537
2	6	2	1	65537
2	7	1	1	65537
2	7	2	1	65537
2	8	1	1	65537
2	8	2	1	65537
2	9	1	1	65537
2	9	2	1	65537
2	10	1	1	65537
2	10	2	1	65537
2	11	1	1	65537
2	11	2	1	65537
2	12	1	1	65537
2	12	2	1	65537
2	13	1	1	65537
2	13	2	1	65537
2	14	1	1	65537
2	14	2	1	65537
2	15	1	1	65537
2	15	2	1	65537
2	16	1	1	65537
2	16	2	1	65537
2	17	1	1	65537
2	17	2	1	65537
2	18	1	1	65537
2	18	2	1	65537
2	19	1	1	65537
2	19	2	1	65537
2	20	1	0	0
2	20	2	0	0
2	21	1	1	65537
2	21	2	1	65537
2	22	1	1	65537
2	22	2	1	65537
2	23	1	1	65537
2	23	2	1	65537
2	24	1	1	65537
2	24	2	1	65537
2	25	1	1	65537
2	25	2	1	65537
2	26	1	0	0
2	26	2	0	0
2	27	1	1	65537
2	27	2	1	65537
2	28	1	1	65537
2	28	2	1	65537
2	29	1	0	0
2	29	2	0	0
2	30	1	1	65537
2	30	2	1	65537
2	31	1	1	65537
2	31	2	1	65537
2	32	1	0	0
2	32	2	0	0
2	33	1	0	0
2	33	2	0	0
2	34	1	0	0
2	34	2	0	0
2	35	1	0	0
2	35	2	0	0
2	36	1	0	0
2	36	2	0	0
2	37	1	0	0
2	37	2	0	0
2	38	1	1	65537
2	38	2	1	65537
2	39	1	1	65537
2	39	2	1	65537
2	40	1	1	65537
2	40	2	1	65537
2	41	1	0	0
2	41	2	0	0
2	42	1	0	0
2	42	2	0	0
3	1	1	1	65537
3	1	2	1	65537
3	2	1	0	0
3	2	2	0	0
3	3	1	1	65537
3	3	2	1	65537
3	4	1	1	65537
3	4	2	1	65537
3	5	1	1	65537
3	5	2	1	65537
3	6	1	1	65537
3	6	2	1	65537
3	7	1	1	65537
3	7	2	1	65537
3	8	1	1	65537
3	8	2	1	65537
3	9	1	1	65537
3	9	2	1	65537
3	10	1	1	65537
3	10	2	1	65537
3	11	1	1	65537
3	11	2	1	65537
3	12	1	1	65537
3	12	2	1	65537
3	13	1	1	65537
3	13	2	1	65537
3	14	1	1	65537
3	14	2	1	65537
3	15	1	1	65537
3	15	2	1	65537
3	16	1	1	65537
3	16	2	1	65537
3	17	1	1	65537
3	17	2	1	65537
3	18	1	1	65537
3	18	2	1	65537
3	19	1	1	65537
3	19	2	1	65537
3	20	1	0	0
3	20	2	0	0
3	21	1	1	65537
3	21	2	1	65537
3	22	1	1	65537
3	22	2	1	65537
3	23	1	1	65537
3	23	2	1	65537
3	24	1	1	65537
3	24	2	1	65537
3	25	1	1	65537
3	25	2	1	65537
3	26	1	0	0
3	26	2	0	0
3	27	1	1	65537
3	27	2	1	65537
3	28	1	1	65537
3	28	2	1	65537
3	29	1	0	0
3	29	2	0	0
3	30	1	1	65537
3	30	2	1	65537
3	31	1	1	65537
3	31	2	1	65537
3	32	1	0	0
3	32	2	0	0
3	33	1	0	0
3	33	2	0	0
3	34	1	0	0
3	34	2	0	0
3	35	1	0	0
3	35	2	0	0
3	36	1	0	0
3	36	2	0	0
3	37	1	0	0
3	37	2	0	0
3	38	1	1	65537
3	38	2	1	65537
3	39	1	1	65537
3	39	2	1	65537
3	40	1	1	65537
3	40	2	1	65537
3	41	1	0	0
3	41	2	0	0
3	42	1	0	0
3	42	2	0	0
4	1	1	1	65537
4	1	2	1	65537
4	2	1	0	0
4	2	2	0	0
4	3	1	1	65537
4	3	2	1	65537
4	4	1	1	65537
4	4	2	1	65537
4	5	1	1	65537
4	5	2	1	65537
4	6	1	1	65537
4	6	2	1	65537
4	7	1	1	65537
4	7	2	1	65537
4	8	1	1	65537
4	8	2	1	65537
4	9	1	1	65537
4	9	2	1	65537
4	10	1	1	65537
4	10	2	1	65537
4	11	1	1	65537
4	11	2	1	65537
4	12	1	1	65537
4	12	2	1	65537
4	13	1	1	65537
4	13	2	1	65537
4	14	1	1	65537
4	14	2	1	65537
4	15	1	1	65537
4	15	2	1	65537
4	16	1	1	65537
4	16	2	1	65537
4	17	1	1	65537
4	17	2	1	65537
4	18	1	1	65537
4	18	2	1	65537
4	19	1	1	65537
4	19	2	1	65537
4	20	1	0	0
4	20	2	0	0
4	21	1	1	65537
4	21	2	1	65537
4	22	1	1	65537
4	22	2	1	65537
4	23	1	1	65537
4	23	2	1	65537
4	24	1	1	65537
4	24	2	1	65537
4	25	1	1	65537
4	25	2	1	65537
4	26	1	0	0
4	26	2	0	0
4	27	1	1	65537
4	27	2	1	65537
4	28	1	1	65537
4	28	2	1	65537
4	29	1	0	0
4	29	2	0	0
4	30	1	1	65537
